0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,0,2.9014,1.3441,5.6969,3.9952,4.2224,4.1329,2.8848,2.306,2.4354,5.1214,5.4146,3.1654,4.176,1.6845,4.3876,2.3486,6.4833,5.0161,3.3496,3.0751,6.8906,5.4964,6.258,4.999,6.2911,6.0941,4.8757,3.2078,5.9625,3.6968,7.1279,6.8029,6.273,5.3322,4.1562,5.3203,7.1943,6.0423,4.681,4.9735,6.2953,4.9411,5.7708,7.4223,7.11,7.3166,7.6056,8.7125,8.283,7.2505
2,2.9014,0,3.2702,6.824,1.7652,1.453,2.1285,3.5923,4.8732,2.1874,6.9653,4.2953,4.6785,7.0348,4.3404,5.8923,3.3336,7.7013,7.2225,5.3195,5.4977,8.6935,5.5342,6.9905,6.1175,5.1131,8.5906,7.3798,4.6285,3.8861,4.3826,8.396,7.6794,5.0304,7.2564,4.3103,6.5224,5.212,4.6548,6.0258,5.6575,5.0333,6.6916,6.3521,8.2668,6.2814,6.5264,9.0326,8.9101,9.6026,8.1217
3,1.3441,3.2702,0,7.008,4.7516,4.4657,3.8346,1.9344,3.1989,2.0589,6.2745,6.5444,4.4022,4.4423,1.7946,5.6433,3.4313,7.7589,5.8658,2.6065,2.9691,7.9476,6.6899,7.4751,6.1156,7.294,6.6688,5.2454,3.9388,6.119,4.1499,8.2571,8.0056,7.071,5.9981,4.1737,6.23,7.7479,6.5727,5.1427,4.579,6.5667,5.065,6.3825,8.2562,7.73,7.4054,8.015,9.5043,8.8905,7.6533
4,5.6969,6.824,7.008,0,6.1482,7.7022,8.6983,8.2374,4.4135,7.5037,2.011,4.5673,2.8799,6.0311,6.0752,1.6156,4.385,1.0887,3.9892,7.9942,6.6797,3.2747,3.2983,2.51,2.9599,5.4897,5.5824,5.954,4.9638,8.8207,6.0716,3.179,2.694,6.4532,5.1173,7.5057,4.263,8.2905,7.4385,6.021,8.7674,8.422,7.0516,6.1677,5.7367,7.4741,9.5378,7.6131,7.1667,7.1945,7.6748
5,3.9952,1.7652,4.7516,6.1482,0,1.8364,3.4162,5.1303,5.433,3.6953,6.7358,2.7105,4.5553,7.8414,5.4136,5.5444,3.4599,7.0095,7.3499,6.6421,6.5133,8.3696,4.4844,6.1482,5.6556,3.6578,8.9412,7.9636,4.9111,3.7725,4.7122,7.7871,6.8689,3.9181,7.4232,4.9437,6.2593,4.1899,3.9973,6.3072,6.5973,4.814,7.3111,6.1848,7.7934,5.562,6.5542,9.1536,8.2036,9.4625,8.1344
6,4.2224,1.453,4.4657,7.7022,1.8364,0,1.7425,4.2377,6.0505,2.8411,7.9634,4.3859,5.639,8.2518,5.4809,6.8457,4.175,8.5181,8.1799,6.1639,6.466,9.5492,5.8465,7.5025,6.7441,4.8157,9.5958,8.3495,5.3133,2.6913,4.731,9.0249,8.2123,4.5033,7.9928,4.3738,7.0422,4.1558,3.9205,6.5015,5.8232,4.2406,7.2752,6.4848,8.5084,5.7384,5.8498,9.3979,8.802,9.949,8.243
7,4.1329,2.1285,3.8346,8.6983,3.4162,1.7425,0,3.0617,6.1437,2.009,8.5947,5.9453,6.2623,7.9967,5.0958,7.6016,4.6751,9.4835,8.4454,5.2367,5.9386,10.16,7.0093,8.5052,7.4708,6.2481,9.6187,8.1649,5.4763,3.1026,4.7594,9.8232,9.1792,5.6679,8.1241,3.9691,7.5387,5.2754,4.7268,6.4818,4.9566,4.5457,6.9068,6.7874,9.059,6.4614,5.747,9.3724,9.4735,10.167,8.278
8,2.8848,3.5923,1.9344,8.2374,5.1303,4.2377,3.0617,0,4.4238,1.4504,7.4453,7.1136,5.4211,5.5572,2.8215,6.7915,4.0579,8.8857,6.7105,2.2373,3.299,8.873,7.21,8.1625,6.7244,7.4235,7.4346,5.8013,4.1577,5.1639,3.7494,8.9702,8.7072,6.8076,6.3411,3.0796,6.512,7.1751,5.9248,4.9173,3.1367,5.5383,4.7165,6.0066,8.2406,7.1055,6.0873,7.6877,9.2071,8.746,7.0612
9,2.306,4.8732,3.1989,4.4135,5.433,6.0505,6.1437,4.4238,0,4.307,3.1932,5.8232,1.9855,2.4917,1.7673,2.8805,2.3658,4.9406,2.7689,3.6832,2.4124,4.7877,4.9074,4.9734,3.5747,6.5169,3.8545,2.9174,2.3883,7.2838,3.5896,5.3376,5.3402,6.6033,3.4185,4.6703,3.8504,8.0477,6.6597,3.6442,5.3122,6.998,3.8839,4.9881,6.032,7.1513,7.7526,6.1181,7.7309,6.6416,6.2227
10,2.4354,2.1874,2.0589,7.5037,3.6953,2.8411,2.009,1.4504,4.307,0,7.0439,5.8128,4.8103,6.0139,3.1083,6.1989,3.2864,8.2293,6.6675,3.3669,3.9457,8.5872,6.2422,7.423,6.1543,6.2068,7.7097,6.2179,3.8673,4.1252,3.4131,8.4857,8.0357,5.6981,6.3997,2.9141,6.146,6.0045,4.9192,4.936,3.7533,4.7735,5.183,5.6832,7.8889,6.308,5.7334,7.8971,8.7036,8.7627,7.0852
