0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
1,0,9.2697,7.3086,10.759,11.641,8.8982,6.0791,10.156,12.063,6.4266,8.9769,7.7507,6.4005,10.244,7.6011,5.4673,4.1385,12.361,3.578,16.024,17.821,14.11,2.6571,7.1414,4.6465,14.313,5.4441,16.042,17.608,8.2291,11.4,14.196,5.2223,5.6715,4.3455,10.373,13.019,14.923,5.5948,14.997,7.4966,6.8347,11.808,10.48,6.4174,9.1962,16.418,16.928,5.6412,5.7707,6.9346,9.7871,9.5852,11.089
2,9.2697,0,3.7955,3.6032,4.295,5.819,5.7514,1.6063,3.2219,7.4543,1.1606,1.9551,6.8856,4.5839,9.5909,11.01,6.8939,8.1258,5.8942,9.0814,11.823,12.248,7.2665,2.4267,4.797,6.5523,4.0418,10.703,12.368,2.3393,3.3213,10.23,10.588,6.0043,7.7891,8.7175,8.2995,11.238,4.9932,9.8275,7.0565,4.1379,4.6984,6.9108,5.8511,2.0412,9.895,10.853,5.7968,5.2315,5.6977,7.1113,4.574,7.1864
3,7.3086,3.7955,0,3.5017,4.3583,2.5866,6.7723,5.3486,5.3444,8.4645,2.8687,1.9714,3.1386,2.9975,10.652,10.866,3.8096,5.9104,4.6606,8.8137,10.898,9.2779,6.0386,3.5465,3.5458,7.0582,3.3721,9.3344,10.979,4.4137,4.4666,8.0644,10.389,6.6565,4.6918,5.4585,6.4367,8.9753,2.8828,8.3574,8.4802,2.2476,4.7875,4.42,6.7566,3.6962,9.3653,10.033,5.8085,4.7449,3.1614,4.4266,3.635,5.1561
4,10.759,3.6032,3.5017,0,0.90139,3.6393,8.9286,4.8517,2.5778,10.684,2.8237,3.4681,6.0405,1.5132,12.88,13.77,7.2541,4.7513,7.798,5.7801,8.3197,9.0806,9.2267,5.2071,6.5837,3.6944,6.0845,7.1619,8.794,5.319,1.7123,6.8058,13.282,8.973,7.9861,6.1572,4.8905,7.7858,5.8551,6.3616,10.339,4.6896,2.1742,4.3145,8.8262,3.6793,6.5846,7.4804,8.1957,7.1717,5.532,5.0366,3.6358,4.7331
5,11.641,4.295,4.3583,0.90139,0,4.1306,9.769,5.388,2.5305,11.521,3.6115,4.3506,6.7246,1.9104,13.708,14.659,8.0727,4.5181,8.6925,4.9348,7.5528,8.9288,10.118,6.0429,7.476,2.8466,6.9698,6.5217,8.1201,6.0565,1.7972,6.4369,14.166,9.8204,8.7652,6.3497,4.5343,7.4025,6.6919,5.8021,11.125,5.5012,1.9686,4.4782,9.6404,4.3415,5.807,6.7482,9.025,7.9938,6.2392,5.3381,4.108,4.8111
6,8.8982,5.819,2.5866,3.6393,4.1306,0,9.3347,7.3712,6.1073,11.001,4.7598,4.3276,2.8907,2.2391,13.163,13.11,4.8865,3.5696,6.8366,7.3755,8.9357,6.7016,8.0712,6.0348,5.8396,6.3731,5.8006,7.2231,8.7832,6.6987,4.9774,5.6604,12.594,9.1281,5.4076,3.0731,4.2907,6.4986,4.6639,6.2824,10.972,4.0009,4.546,2.5637,9.1772,5.4533,7.7461,8.2104,8.0264,6.8176,3.9082,2.9562,4.0091,3.6839
7,6.0791,5.7514,6.7723,8.9286,9.769,9.3347,0,5.7208,8.915,1.7632,6.2139,5.5522,8.4322,9.3132,3.9895,5.4431,6.7361,12.604,3.6961,14.628,17.183,15.941,4.0265,3.8729,3.9557,12.205,3.7563,15.786,17.492,4.3934,8.8685,14.729,5.2144,1.5295,7.5057,11.938,12.98,15.688,5.6602,14.774,2.5726,6.1347,9.9414,10.782,2.3239,6.2412,15.303,16.144,3.4832,4.3352,7.4044,10.421,8.3747,11.121
8,10.156,1.6063,5.3486,4.8517,5.388,7.3712,5.7208,0,3.5906,7.2601,2.6222,3.4275,8.3814,5.9926,9.2391,11.134,8.1824,9.472,6.7001,9.8688,12.754,13.703,7.9495,3.1142,5.731,7.1907,4.9134,11.768,13.426,2.4397,4.1062,11.5,10.707,6.038,9.0295,10.197,9.5336,12.528,6.1046,10.913,6.6004,5.3186,5.5731,8.2376,5.7418,2.7202,10.7,11.716,6.0737,5.7749,6.8778,8.4086,5.5672,8.3561
9,12.063,3.2219,5.3444,2.5778,2.5305,6.1073,8.915,3.5906,0,10.58,3.1021,4.3204,8.2146,4.0016,12.653,14.162,8.9924,6.8917,8.7241,6.3272,9.2802,11.353,10.122,5.3821,7.5276,3.6181,6.8199,8.4879,10.08,4.9175,1.3184,8.6805,13.645,9.0224,9.7189,8.515,6.7318,9.6863,7.0683,7.762,9.9006,5.8605,2.7468,6.3394,8.6876,3.404,7.2123,8.2787,8.4396,7.6449,6.9702,6.9312,4.5392,6.3545
10,6.4266,7.4543,8.4645,10.684,11.521,11.001,1.7632,7.2601,10.58,0,7.949,7.3028,9.8729,11.058,2.2332,4.1721,7.9644,14.309,4.8417,16.364,18.929,17.541,4.6611,5.5812,5.3988,13.917,5.3272,17.515,19.23,5.9697,10.57,16.415,4.0834,2.3282,8.6127,13.506,14.685,17.37,7.0923,16.484,2.2087,7.6975,11.637,12.413,3.0399,7.8737,17.023,17.86,4.4107,5.5294,8.8366,11.979,9.9658,12.721
